"id","timestamp","player_id","stage_id"
"132","2023-07-05 16:13:59.269526","1185","3"
"133","2023-07-05 16:15:11.348639","1069","4"
"134","2023-07-05 16:15:29.096809","1205","2"
"135","2023-07-05 16:15:59.549028","1162","3"
"136","2023-07-05 16:18:23.958284","1207","2"
"137","2023-07-05 16:18:59.483253","1204","2"
"138","2023-07-05 16:19:07.570976","1206","2"
"139","2023-07-05 16:19:43.000986","1108","3"
"140","2023-07-05 16:19:52.211565","1050","4"
"141","2023-07-05 16:20:37.934683","1105","3"
"142","2023-07-05 16:21:04.511351","1106","3"
"143","2023-07-05 16:21:13.998818","1088","3"
"144","2023-07-05 16:21:35.3256","1209","2"
"145","2023-07-05 16:22:49.525078","1210","2"
"146","2023-07-05 16:24:24.265747","1167","3"
"147","2023-07-05 16:24:36.981522","1101","3"
"148","2023-07-05 16:24:40.950972","1168","3"
"149","2023-07-05 16:26:49.992883","1212","2"
"150","2023-07-05 16:27:29.480527","1027","4"
"151","2023-07-05 16:27:42.885128","1181","3"
"152","2023-07-05 16:27:47.374516","1025","4"
"153","2023-07-05 16:28:05.954126","1029","4"
"154","2023-07-05 16:28:58.323157","1028","4"
"155","2023-07-05 16:29:51.471609","1048","4"
"156","2023-07-05 16:30:44.260042","1161","4"
"157","2023-07-05 16:30:57.210888","1094","4"
"158","2023-07-05 16:31:03.143123","1042","3"
"159","2023-07-05 16:31:10.903756","1136","4"
"162","2023-07-05 16:31:43.64188","1165","3"
"160","2023-07-05 16:31:23.003466","1159","3"
"161","2023-07-05 16:31:36.72598","1214","2"
"163","2023-07-05 16:32:57.19965","1058","3"
"164","2023-07-05 16:33:00.034188","1130","3"
"165","2023-07-05 16:33:14.336511","1130","4"
"166","2023-07-05 16:33:51.166842","1110","3"
"167","2023-07-05 16:34:05.756488","1161","3"
"168","2023-07-05 16:36:42.666521","1093","3"
"169","2023-07-05 16:40:23.770266","1057","3"
"170","2023-07-05 16:42:29.418728","1026","4"
"171","2023-07-05 16:42:41.394595","1159","4"
"172","2023-07-05 16:43:31.873191","1145","4"
"173","2023-07-05 16:44:21.345054","1169","3"
"174","2023-07-05 16:44:31.359042","1011","3"
"175","2023-07-05 16:44:48.190461","1189","3"
"176","2023-07-05 16:45:13.013476","1155","3"
"177","2023-07-05 16:46:29.56571","1177","3"
"178","2023-07-05 16:46:54.961068","1089","3"
"179","2023-07-05 16:47:51.467687","1023","3"
"180","2023-07-05 16:48:24.280374","1092","3"
"181","2023-07-05 16:49:39.066954","1112","5"
"182","2023-07-05 16:51:01.32209","1066","5"
