"id","info","location","name","number","pin","color"
"2","- Radegast 10°, 12°;
- Birell Pomelo, Kofola, Pomeranč;
- Radegast Ratar;
;
K občerstvení kyselice, vepřový steak, topinka s kuřecí směsí...","binary data","Hospoda U NÁS",1,"1. hospoda U NÁS","color: green;"
"3","CYKLOPARTYJA VALAŠSKÁ POLANKA;
;
- Radegast 10°;
- Birell;
- malinovka;
- k jídlu speciality od Cyklopartyje!","binary data","NA TOČNĚ",2,"2. NA TOČNĚ","color: red;"
"4","SDH Valašská Polanka;
;
- Radegast 10°;
- Birell;
- malinovka;
- k zakousnutí výborné ... od hasičů;","binary data","NA VYHLÍDCE",3,"3. NA VYHLÍDCE","color: purple;"
"5","Myslivecký spolek Hrubá dolina Valašská Polanka;
;
- Radegast 10°;
- malinovka;
- zvěřinové speciality od myslivců, guláš, udírna...","binary data","V DUGLASCE",4,"4. V DUGLASCE","color: blue;"
"6","- Radegast 10°;
- Kanec 10°;
- Hubertus 12° Kvasničák;
- malinovka;
- Birell Pomelo;
- k zakousnutí velký výběr jídla;
- mobilní kavárna U nás kafe z Lipiny;
- speciality z La Tazza Bistro ze Vsetína;
KAPELA - ASTMATIC k tanci i poslechu, tombola-letos losovaná na tanečním kole, překvapení z nebes!","binary data","NA KOLE",5,"5.NA KOLE","color: grey;"
