"id","text","player_id"
"1","Slevnil bych pivo... 🤣","1004"
"2","Jupijou, diplom pecka!","1001"
"3","Trasa super, každopádně v místě některých zastávek nebyl signál, tedy nešlo naskenovat QRkód. Taky by se hodilo vidět někde na stránkách info o tom, kdy se bude losovat tombola. ","1141"
"4","Myšlenka aplikace nebyla špatná. Ale ikdyž jsem měl plně nabitý telefon i neomezená data, tak na stanovišti u cyklopartyje absolutně žádný signál a tedy bez známky. Tu jsem jen vyfotil, ale už se jí nepodařilo do aplikace přidat. Tak snad příště raději klasické kartičky a razítka. Jinak příjemná akce.","1204"
"5","Velká gratulace pořadatelům,super akce, už se těším na další ročník 😁","1012"
